model,pooling,max_depth,hidden_size,max_seq_len,device,valid_auc,valid_accuracy,valid_f1,valid_positive_rate,test_auc,test_accuracy,test_f1,test_positive_rate
gru4rec,,,128,50,cuda,0.6872192249165037,0.6632450331125828,0.7416158536585366,0.7180463576158941,0.665382951250453,0.6544701986754967,0.7357224262378118,0.7180463576158941
xgboost,recency_weighted,8,,,,0.7898952872190554,0.7281456953642385,0.7805399625768511,0.653476821192053,0.7883188542044219,0.7288079470198675,0.7813667912439936,0.6509933774834437
gru4rec,,,64,20,cuda,0.6715270449200609,0.6536423841059603,0.7373838814963596,0.7336092715231788,0.650468580101486,0.6326158940397351,0.7223126016768865,0.7336092715231788
xgboost,mean,6,,,,0.7867363999017523,0.7236754966887418,0.7775556444089031,0.6569536423841059,0.7838958295578108,0.726158940397351,0.778995189738108,0.6496688741721854
gru4rec,,,64,20,cuda,0.6719701191676054,0.6495033112582781,0.7316516668779313,0.7208609271523179,0.6549562794490758,0.6347682119205298,0.7212534748546879,0.7208609271523179
gru4rec,,,64,20,cuda,0.6737984286024838,0.652317880794702,0.7318007662835249,0.7110927152317881,0.6525691486951795,0.6336092715231788,0.7182686187141948,0.7110927152317881
gru4rec,,,128,50,cuda,0.687330402843535,0.66158940397351,0.7352331606217617,0.6928807947019867,0.6615305590793766,0.6422185430463576,0.7209812782440284,0.6928807947019867
